place_id,canonical_name,qa_kind,qa_status,before_link_count,after_link_count,action,added_map_id,added_map_title,added_url
P053,여부스,bmpi,no_label,3,1,added_google_fallback,GOOGLE-QA-REPAIR-P053,Google Maps 검색: 여부스,https://www.google.com/maps/search/?api=1&query=%EC%97%AC%EB%B6%80%EC%8A%A4
P116,염해,bmpi,no_label,14,1,added_google_fallback,GOOGLE-QA-REPAIR-P116,Google Maps 검색: 염해,https://www.google.com/maps/search/?api=1&query=%EC%97%BC%ED%95%B4
P337,온,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P337,Google Maps 검색: 온,https://www.google.com/maps/search/?api=1&query=%EC%98%A8
P341,이두래,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P341,Google Maps 검색: 이두래,https://www.google.com/maps/search/?api=1&query=%EC%9D%B4%EB%91%90%EB%9E%98
P342,이두매,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P342,Google Maps 검색: 이두매,https://www.google.com/maps/search/?api=1&query=%EC%9D%B4%EB%91%90%EB%A7%A4
P343,이온,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P343,Google Maps 검색: 이온,https://www.google.com/maps/search/?api=1&query=%EC%9D%B4%EC%98%A8
P350,트랜스요단,bmpi,no_label,1,1,added_google_fallback,GOOGLE-QA-REPAIR-P350,Google Maps 검색: 트랜스요단,https://www.google.com/maps/search/?api=1&query=%ED%8A%B8%EB%9E%9C%EC%8A%A4%EC%9A%94%EB%8B%A8
P045,하솔,bmpi,no_label,7,1,added_google_fallback,GOOGLE-QA-REPAIR-P045,Google Maps 검색: 하솔,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%86%94
P148,힛데겔,bmpi,no_label,4,1,added_google_fallback,GOOGLE-QA-REPAIR-P148,Google Maps 검색: 힛데겔,https://www.google.com/maps/search/?api=1&query=%ED%9E%9B%EB%8D%B0%EA%B2%94
P014,세겜,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P014,Google Maps 검색: 세겜,https://www.google.com/maps/search/?api=1&query=%EC%84%B8%EA%B2%9C
P375,실로암 못,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P375,Google Maps 검색: 실로암 못,https://www.google.com/maps/search/?api=1&query=%EC%8B%A4%EB%A1%9C%EC%95%94%20%EB%AA%BB
P376,기드론 골짜기,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P376,Google Maps 검색: 기드론 골짜기,https://www.google.com/maps/search/?api=1&query=%EA%B8%B0%EB%93%9C%EB%A1%A0%20%EA%B3%A8%EC%A7%9C%EA%B8%B0
P377,힌놈의 골짜기,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P377,Google Maps 검색: 힌놈의 골짜기,https://www.google.com/maps/search/?api=1&query=%ED%9E%8C%EB%86%88%EC%9D%98%20%EA%B3%A8%EC%A7%9C%EA%B8%B0
P399,아말렉 광야,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P399,Google Maps 검색: 아말렉 광야,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A7%90%EB%A0%89%20%EA%B4%91%EC%95%BC
P407,기혼 샘,not_checked_or_unlinked,unlinked,0,1,added_google_for_unlinked_place,GOOGLE-QA-REPAIR-P407,Google Maps 검색: 기혼 샘,https://www.google.com/maps/search/?api=1&query=%EA%B8%B0%ED%98%BC%20%EC%83%98
